jobType,jobNo,jobName,jobNameSnippet,jobRole,jobRo,jobAddrNo,jobAddrNoDesc,jobAddress,description,descWithoutHighlight,optionEdu,period,periodDesc,applyCnt,applyType,applyDesc,custNo,custName,coIndustry,coIndustryDesc,salaryLow,salaryHigh,salaryDesc,s10,appearDate,appearDateDesc,optionZone,isApply,applyDate,userApplyCount,isSave,descSnippet,tags,landmark,link,jobsource,jobNameRaw,custNameRaw,lon,lat,remoteWorkType,major,salaryType,dist,mrt,mrtDesc,isActivelyHiring,爬蟲日期
1,14622346,"AI工程師-影像辨識/預測模型/語言模型/數據分析 (有經驗者,薪資可議40K~65K)","AI工程師-影像辨識/預測模型/語言模型/數據分析 (有經驗者,薪資可議40K~65K)",1,1,6001002016,新北市土城區,中山路4巷3號(近北二高交流道）,"我們非常重視專業的資訊人材，提供良好的工作環境以及學習與成長空間。 歡迎優秀的朋友們一起加入我們的IT團隊，共同創造屬於自己的未來。
1. 開發與優化AI模型：影像辨識、資料預測、LLM、智慧製造等應用
2. 跨部門協作：了解業務需求，提出具體AI解決方案與應用建議
3. AI模型整合：將模型嵌入現有系統架構中
4. 數據處理：參與資料清理、特徵工程與模型評估
5. 完成主管交辦專案任務","我們非常重視專業的資訊人材，提供良好的工作環境以及學習與成長空間。 歡迎優秀的朋友們一起加入我們的IT團隊，共同創造屬於自己的未來。
1. 開發與優化AI模型：影像辨識、資料預測、LLM、智慧製造等應用
2. 跨部門協作：了解業務需求，提出具體AI解決方案與應用建議
3. AI模型整合：將模型嵌入現有系統架構中
4. 數據處理：參與資料清理、特徵工程與模型評估
5. 完成主管交辦專案任務",大學,00,經歷不拘,00063,4,大於30人應徵,5637971000,燿華電子股份有限公司,1001005001,印刷電路板製造業(PCB),0040000,0065000,"月薪40,000~65,000元",50,20250623,6/23,3149952,0,,0,0,"我們非常重視專業的資訊人材，提供良好的工作環境以及學習與成長空間。 歡迎優秀的朋友們一起加入我們的IT團隊，共同創造屬於自己的未來。
1. 開發與優化AI模型：影像辨識、資料預測、LLM、智慧製造等應用
2. 跨部門協作：了解業務需求，提出具體AI解決方案與應用建議
3. AI模型整合：將模型嵌入現有系統架構中
4. 數據處理：參與資料清理、特徵工程與模型評估
5. 完成主管交辦專案任務","{'zone': {'desc': '上市上櫃', 'param': 16}, 'emp': {'desc': '員工5000人', 'param': '8'}}",,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/8peoa?channel=104rpt&jobsource=hotjob_chr', 'job': '//www.104.com.tw/job/8peoa?jobsource=hotjob_chr', 'cust': '//www.104.com.tw/company/2l8pa9k?jobsource=hotjob_chr'}",hotjob_chr,"AI工程師-影像辨識/預測模型/語言模型/數據分析 (有經驗者,薪資可議40K~65K)",燿華電子股份有限公司,121.4135699,24.9597619,0,"['資訊工程相關', '資訊管理相關', '數理統計相關']",M,,,,True,2025-06-25
2,12418894,數據分析師 I31,<em class='b-txt--highlight'>數據</em>分析師 I31,1,1,6001001005,台北市大安區,敦化南路二段77號12樓,"1.利用[[[數據]]]分析解決商業問題
2.跨部門專案溝通合作
3.營運績效追蹤與評估
4.日常營運及管理報表製作
5.其他[[[數據]]]研究分析與簡報報告","1.利用數據分析解決商業問題
2.跨部門專案溝通合作
3.營運績效追蹤與評估
4.日常營運及管理報表製作
5.其他數據研究分析與簡報報告",大學,00,經歷不拘,00004,1,0~5人應徵,22760834000,永慶房產集團_永慶房屋仲介股份有限公司,1011004001,不動產經營業,0040000,0060000,"月薪40,000~60,000元",50,20250625,6/25,2101376,0,,0,0,"1.利用<em class='b-txt--highlight'>數據</em>分析解決商業問題
2.跨部門專案溝通合作
3.營運績效追蹤與評估
4.日常營運及管理報表製作
5.其他<em class='b-txt--highlight'>數據</em>研究分析與簡報報告","{'emp': {'desc': '員工3000人', 'param': '8'}}",距捷運信義安和站約500公尺,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/7e6ha?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/7e6ha?jobsource=2018indexpoc', 'cust': '//www.104.com.tw/company/agf7nww?jobsource=2018indexpoc'}",2018indexpoc,數據分析師 I31,永慶房產集團_永慶房屋仲介股份有限公司,121.549201,25.030284,0,[],M,0.5,99001002003,捷運信義安和站,True,2025-06-25
0,14620764,數位行銷數據分析師,數位行銷<em class='b-txt--highlight'>數據</em>分析師,1,1,6001016025,高雄市大寮區,民忠街16號,"1.分析與追蹤 Facebook、Instagram、LINE、Google（GA4、Ads、Search Console）等數位媒體平台[[[數據]]]，評估貼文互動、廣告投放、觸及率、點擊率與轉換率，並提出優化與預算調整建議。

2.建立 KOL／藝人／","1.分析與追蹤 Facebook、Instagram、LINE、Google（GA4、Ads、Search Console）等數位媒體平台數據，評估貼文互動、廣告投放、觸及率、點擊率與轉換率，並提出優化與預算調整建議。

2.建立 KOL／藝人／",專科,03,2年以上,00005,1,0~5人應徵,130000000097620,CONTIN 康定_奇來生技有限公司,1002017001,其他相關製造業,0040000,9999999,"月薪40,000元以上",50,20250625,6/25,0,0,,0,0,"1.分析與追蹤 Facebook、Instagram、LINE、Google（GA4、Ads、Search Console）等數位媒體平台<em class='b-txt--highlight'>數據</em>，評估貼文互動、廣告投放、觸及率、點擊率與轉換率，並提出優化與預算調整建議。

2.建立 KOL／藝人／",[],,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/8pdgc?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/8pdgc?jobsource=2018indexpoc', 'cust': '//www.104.com.tw/company/1a2x6bk2ms?jobsource=2018indexpoc'}",2018indexpoc,數位行銷數據分析師,CONTIN 康定_奇來生技有限公司,120.385938,22.6415866,0,[],M,,,,True,2025-06-25
2,14576756,生管管理師(數據分析)_觀音_RH5302,生管管理師(<em class='b-txt--highlight'>數據</em>分析)_觀音_RH5302,1,1,6001005006,桃園市觀音區,"No. 18, Datong 1st Rd.,","1.產品市場大[[[數據]]]分析，提出具建議價值的input。
2.市場供需相關因子與指標分析，做為庫存備料與交期判斷依據。
3.原料周轉天數管控、備料準確率分析、庫存調度掌控縮短交期。
","1.產品市場大數據分析，提出具建議價值的input。
2.市場供需相關因子與指標分析，做為庫存備料與交期判斷依據。
3.原料周轉天數管控、備料準確率分析、庫存調度掌控縮短交期。
",大學,04,3年以上,00008,2,6~10人應徵,86521351000,台光電子材料股份有限公司,1001005001,印刷電路板製造業(PCB),0000000,0000000,待遇面議,10,20250625,6/25,34607104,0,,0,0,"1.產品市場大<em class='b-txt--highlight'>數據</em>分析，提出具建議價值的input。
2.市場供需相關因子與指標分析，做為庫存備料與交期判斷依據。
3.原料周轉天數管控、備料準確率分析、庫存調度掌控縮短交期。
","{'zone': {'desc': '上市上櫃', 'param': 16}, 'emp': {'desc': '員工3500人', 'param': '8'}}",,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/8ofhw?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/8ofhw?jobsource=2018indexpoc', 'cust': '//www.104.com.tw/company/13qwktp4?jobsource=2018indexpoc'}",2018indexpoc,生管管理師(數據分析)_觀音_RH5302,台光電子材料股份有限公司,121.129751,25.0482139,0,[],,,,,True,2025-06-25
2,11554305,京站-CRM資深數據分析專員,京站-CRM資深<em class='b-txt--highlight'>數據</em>分析專員,1,1,6001001002,台北市大同區,市民大道一段209號13樓,"1. Data Infrastructure資料規劃建置
2.顧客觸及渠道與回購分析優化
3.顧客經營指標建置與Dashboard設計維運
4.顧客標籤、分群、歸戶建置與優化
5.監控顧客關係[[[數據]]]管理，支援營銷決策
6.專案評估之[[[數據]]]建","1. Data Infrastructure資料規劃建置
2.顧客觸及渠道與回購分析優化
3.顧客經營指標建置與Dashboard設計維運
4.顧客標籤、分群、歸戶建置與優化
5.監控顧客關係數據管理，支援營銷決策
6.專案評估之數據建",大學,06,5年以上,00007,2,6~10人應徵,28710621000,京站實業股份有限公司,1003002013,百貨相關業,0000000,0000000,待遇面議,10,20250625,6/25,4096,0,,0,0,"1. Data Infrastructure資料規劃建置
2.顧客觸及渠道與回購分析優化
3.顧客經營指標建置與Dashboard設計維運
4.顧客標籤、分群、歸戶建置與優化
5.監控顧客關係<em class='b-txt--highlight'>數據</em>管理，支援營銷決策
6.專案評估之<em class='b-txt--highlight'>數據</em>建","{'emp': {'desc': '員工245人', 'param': '6'}}",距捷運台北車站站約210公尺,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/6vncx?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/6vncx?jobsource=2018indexpoc', 'cust': '//www.104.com.tw/company/d6tk8y0?jobsource=2018indexpoc'}",2018indexpoc,京站-CRM資深數據分析專員,京站實業股份有限公司,121.5185352,25.049116,0,"['統計學相關', '經濟學相關', '企業管理相關']",,0.21,99001002009,捷運台北車站站,True,2025-06-25
0,13672565,電商事業部（宜科）- 數據分析,電商事業部（宜科）- <em class='b-txt--highlight'>數據</em>分析,1,1,6001003001,宜蘭縣宜蘭市,宜科南路15號3樓之8,"職位類別A - 電商運營[[[數據]]]分析師
1. 對店商高成長有熱忱
2. 對店商實務超作有耐心
3. 有資料處理分析能力
4. 能判斷廣告投放對銷量產生之效益
5. 針對產業對手價格分析，做出動態價格回應

","職位類別A - 電商運營數據分析師
1. 對店商高成長有熱忱
2. 對店商實務超作有耐心
3. 有資料處理分析能力
4. 能判斷廣告投放對銷量產生之效益
5. 針對產業對手價格分析，做出動態價格回應

",大學,04,3年以上,00003,1,0~5人應徵,25104761000,立達國際電子股份有限公司,1001003001,電腦及其週邊設備製造業,0035000,0060000,"月薪35,000~60,000元",50,20250625,6/25,262144,0,,0,0,"職位類別A - 電商運營<em class='b-txt--highlight'>數據</em>分析師
1. 對店商高成長有熱忱
2. 對店商實務超作有耐心
3. 有資料處理分析能力
4. 能判斷廣告投放對銷量產生之效益
5. 針對產業對手價格分析，做出動態價格回應

","{'emp': {'desc': '員工100人', 'param': '6'}}",,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/851th?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/851th?jobsource=2018indexpoc', 'cust': '//www.104.com.tw/company/bj6q5k8?jobsource=2018indexpoc'}",2018indexpoc,電商事業部（宜科）- 數據分析,立達國際電子股份有限公司,121.7539751,24.732427,0,"['資訊工程相關', '資訊管理相關', '其他數學及電算機科學相關']",M,,,,False,2025-06-25
0,14079349,商業數據分析師,商業<em class='b-txt--highlight'>數據</em>分析師,1,1,6001001003,台北市中山區,中山北路二段33號6樓,"題，為客戶提供具有價值的服務並且協助推動客戶的財務成長。服務內容包括：
•	打造具有吸引力和說服力的溝通素材
•	視覺化[[[數據]]]和概念以增強觀眾參與度和理解
•	進行臨床實驗[[[數據]]]分析和實驗設計
•	製作具有最新[[[數據]]]與圖表的醫學文獻刊物
•	研究、理解和","題，為客戶提供具有價值的服務並且協助推動客戶的財務成長。服務內容包括：
•	打造具有吸引力和說服力的溝通素材
•	視覺化數據和概念以增強觀眾參與度和理解
•	進行臨床實驗數據分析和實驗設計
•	製作具有最新數據與圖表的醫學文獻刊物
•	研究、理解和",高中,00,經歷不拘,00014,3,11~30人應徵,130000000124356,世銳顧問有限公司,1008003001,工商顧問服務業,0050000,0060000,"月薪50,000~60,000元",50,20250625,6/25,0,0,,0,0,"題，為客戶提供具有價值的服務並且協助推動客戶的財務成長。服務內容包括：
•	打造具有吸引力和說服力的溝通素材
•	視覺化<em class='b-txt--highlight'>數據</em>和概念以增強觀眾參與度和理解
•	進行臨床實驗<em class='b-txt--highlight'>數據</em>分析和實驗設計
•	製作具有最新<em class='b-txt--highlight'>數據</em>與圖表的醫學文獻刊物
•	研究、理解和","{'emp': {'desc': '員工20人', 'param': '3'}}",距捷運中山站約260公尺,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/8drp1?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/8drp1?jobsource=2018indexpoc', 'cust': '//www.104.com.tw/company/1a2x6bkn9g?jobsource=2018indexpoc'}",2018indexpoc,商業數據分析師,世銳顧問有限公司,121.5228523,25.0533725,0,"['一般商業學類', '醫藥工程相關', '數理統計相關']",M,0.26,99001003015,捷運中山站,False,2025-06-25
2,13595505,PDA【數據分析專員 (精算部門)】,PDA【<em class='b-txt--highlight'>數據</em>分析專員 (精算部門)】,1,1,6001001001,台北市中正區,忠孝西路一段6號19樓　,"1.蒐集與清理[[[數據]]]及資料維護。
2.建置精算、前端業務需求之相關資料庫。
3.分析[[[數據]]]資料，洞察業務特性。
4.與其他單位合作,依目標需求產出報表。
5.完成主管交辦事項，具責任感並按時完成工作交付。
","1.蒐集與清理數據及資料維護。
2.建置精算、前端業務需求之相關資料庫。
3.分析數據資料，洞察業務特性。
4.與其他單位合作,依目標需求產出報表。
5.完成主管交辦事項，具責任感並按時完成工作交付。
",大學,00,經歷不拘,00006,2,6~10人應徵,11099303000,南山產物保險股份有限公司,1004003002,產物保險業,0035000,9999999,"月薪35,000元以上",50,20250625,6/25,4096,0,,0,0,"1.蒐集與清理<em class='b-txt--highlight'>數據</em>及資料維護。
2.建置精算、前端業務需求之相關資料庫。
3.分析<em class='b-txt--highlight'>數據</em>資料，洞察業務特性。
4.與其他單位合作,依目標需求產出報表。
5.完成主管交辦事項，具責任感並按時完成工作交付。
","{'emp': {'desc': '員工740人', 'param': '8'}}",距捷運台北車站站約240公尺,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/83ecx?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/83ecx?jobsource=2018indexpoc', 'cust': '//www.104.com.tw/company/53k8l08?jobsource=2018indexpoc'}",2018indexpoc,PDA【數據分析專員 (精算部門)】,南山產物保險股份有限公司,121.5179717,25.0457942,0,"['統計學相關', '資訊管理相關']",M,0.24,99001002009,捷運台北車站站,True,2025-06-25
2,11742822,統一超商數據分析師  (市場情報應用),統一超商<em class='b-txt--highlight'>數據</em>分析師  (市場情報應用),1,1,6001001007,台北市信義區,東興路65號2樓,"1.觀測及分析銷售[[[數據]]]，結合多資料源，執行市場情報分析、行銷效益分析、產品經營分析，產生具備商業價值、且可執行的[[[數據]]]洞察。
2.市場調查問卷設計，執行業務分析，或開發[[[數據]]]儀表板以供實時檢視商業指標。
3.把關資料來源品質，確保資料的正確性、可用性","1.觀測及分析銷售數據，結合多資料源，執行市場情報分析、行銷效益分析、產品經營分析，產生具備商業價值、且可執行的數據洞察。
2.市場調查問卷設計，執行業務分析，或開發數據儀表板以供實時檢視商業指標。
3.把關資料來源品質，確保資料的正確性、可用性",大學,03,2年以上,00005,1,0~5人應徵,22555003000,統一超商股份有限公司,1003002013,百貨相關業,0037050,0052000,"月薪37,050~52,000元",50,20250625,6/25,3412096,0,,0,0,"1.觀測及分析銷售<em class='b-txt--highlight'>數據</em>，結合多資料源，執行市場情報分析、行銷效益分析、產品經營分析，產生具備商業價值、且可執行的<em class='b-txt--highlight'>數據</em>洞察。
2.市場調查問卷設計，執行業務分析，或開發<em class='b-txt--highlight'>數據</em>儀表板以供實時檢視商業指標。
3.把關資料來源品質，確保資料的正確性、可用性","{'zone': {'desc': '上市上櫃', 'param': 16}, 'emp': {'desc': '員工8775人', 'param': '8'}}",,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/6zoti?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/6zoti?jobsource=2018indexpoc', 'cust': '//www.104.com.tw/company/ad0nzp4?jobsource=2018indexpoc'}",2018indexpoc,統一超商數據分析師  (市場情報應用),統一超商股份有限公司,121.5666482,25.0468634,0,[],M,,,,False,2025-06-25
2,14546371,資深 BI 數據分析師【商周集團】,資深 BI <em class='b-txt--highlight'>數據</em>分析師【商周集團】,1,1,6001001011,台北市南港區,昆陽街16號6樓,"職位描述：
如果你熱愛[[[數據]]]分析，擅長透過 Power BI 進行 [[[數據]]]視覺化 與 商業洞察，並希望你的分析能影響決策與企業成長，我們期待你的加入！

一.工作內容
   ✅BI 報表開發與最佳化（70%）
        •了解業務需求，設計並打","職位描述：
如果你熱愛數據分析，擅長透過 Power BI 進行 數據視覺化 與 商業洞察，並希望你的分析能影響決策與企業成長，我們期待你的加入！

一.工作內容
   ✅BI 報表開發與最佳化（70%）
        •了解業務需求，設計並打",大學,04,3年以上,00002,1,0~5人應徵,86295186000,商周集團_商周編輯顧問股份有限公司,1005002002,雜誌／期刊出版業,0000000,0000000,待遇面議,10,20250625,6/25,4096,0,,0,0,"職位描述：
如果你熱愛<em class='b-txt--highlight'>數據</em>分析，擅長透過 Power BI 進行 <em class='b-txt--highlight'>數據</em>視覺化 與 商業洞察，並希望你的分析能影響決策與企業成長，我們期待你的加入！

一.工作內容
   ✅BI 報表開發與最佳化（70%）
        •了解業務需求，設計並打","{'emp': {'desc': '員工300人', 'param': '7'}, 'remote': {'desc': '遠端工作'}}",距捷運昆陽站約350公尺,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/8ns1v?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/8ns1v?jobsource=2018indexpoc', 'cust': '//www.104.com.tw/company/13n5xbo0?jobsource=2018indexpoc'}",2018indexpoc,資深 BI 數據分析師【商周集團】,商周集團_商周編輯顧問股份有限公司,121.5923944,25.0535343,2,"['統計學相關', '資訊管理相關']",,0.35,99001005021,捷運昆陽站,False,2025-06-25
