id,title,companyName,listingDate,locations,salaryLabel,teaser
84750835,Data Analyst,Intelligent Memory Limited,2025-06-06T08:04:31Z,"Kwai Hing, Kwai Tsing District",,"Responsibilities：
~ Statistical Analysis
~ Data Visualization
~ Experience with data visualization tools
"
84661374,Data Analyst,Gain Miles Assurance Consultants Limited,2025-06-03T07:45:01Z,Kwun Tong District,,Join the GUM team to challenge yourself with exciting career and enjoy our unique GUM culture!
85259346,Senior Business / Commercial Analyst (Data / Business Analytics),Swire Coca-Cola,2025-06-30T04:59:05Z,Sha Tin District,,"Responsibilities:



 Drive company business by conducting market analysis, business forecast, category and brand specific review to identify..."
84748330,"Data Analyst, Agency Transformation and Analytics (1 year contract)",Sun Life,2025-06-06T06:45:23Z,"Hung Hom, Kowloon City District",,We are looking for a proactive candidate to join our team.
85430405,"Specialist, Data Science and Analytics",Gogo Tech Ltd,2025-07-03T06:30:18Z,"Kwun Tong, Kwun Tong District",,"Proficiency in SQL and Python (including libraries such as Pandas, NumPy, Selenium)."
85121093,Strategy and Planning Analyst (Data-driven),YesStyle.com Limited,2025-06-24T01:56:45Z,"Kwai Hing, Kwai Tsing District",,Supporting company business growth and helping make data-driven decisions through identifying business intelligence and opportunities.
84871787,Data Analyst (Manufacturing Excellence),Nestle,2025-06-12T06:28:48Z,Yuen Long District,,Great opportunity for talents who's keen in advancing their career in food industry or factory operation
85432737,Business Analyst,GTS Platform Services Limited,2025-07-03T07:21:21Z,"Tsim Sha Tsui, Yau Tsim Mong District",,"3+ years of experience in data analysis, preferably in Finance or E-commerce industry"
84936335,"Data Analytics Officer (1-yr contract, renewable)","Promise (Hong Kong) Co., Limited",2025-06-16T02:30:18Z,"Wan Chai, Wan Chai District",,Excellent opportunity for experienced data analyst to drive strategic business decisions. Attractive remuneration package.
85429535,"Senior Associate, Data Analyst (Sales Management and RM Analytics)",DBS Bank,2025-07-03T06:11:39Z,Hong Kong Island,$0 - $0,"Business Function As the leading bank in Asia, Transformation and Data (T&D) supports our management on the implementation of the Group’s agenda"
